Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Puerto Rico,US,2020-05-08 02:32:36,18.2208,-66.5901,2031,102,,1929.0,72,69.2368739704808,2031,,5.02215657311669,630,PRI,69.2368739704808,
Rhode Island,US,2020-05-08 02:32:36,41.6809,-71.5118,10530,388,696,9446.0,44,993.99543687185,82318,1153,3.68471035137702,84000044,USA,7770.53336870057,10.9496676163343
South Carolina,US,2020-05-08 02:32:36,33.8569,-80.945,7142,316,3816,3010.0,45,141.707052118314,77482,1152,4.42453094371325,84000045,USA,1537.34889557984,16.1299355922711
South Dakota,US,2020-05-08 02:32:36,44.2998,-99.4388,2906,31,2028,847.0,46,394.894903056427,20114,236,1.06675843083276,84000046,USA,2733.28151413523,8.12112869924295
Tennessee,US,2020-05-08 02:32:36,35.7478,-86.6923,14096,238,6783,7075.0,47,214.71671666213,236328,1266,1.68842224744608,84000047,USA,3599.85614467422,8.98127128263337
Texas,US,2020-05-08 02:32:36,31.0545,-97.5635,36036,985,18440,16611.0,48,156.783503500458,455162,,2.73337773337773,84000048,USA,1980.29451160716,
Utah,US,2020-05-08 02:32:36,40.15,-111.8624,5724,61,2640,3023.0,49,199.729088636587,134543,476,1.06568832983927,84000049,USA,4694.64548784633,8.31586303284417
Vermont,US,2020-05-08 02:32:36,44.0459,-72.7107,916,53,718,145.0,50,150.018588547817,18451,,5.78602620087336,84000050,USA,3021.82639442769,
Virgin Islands,US,2020-05-08 02:32:36,18.3358,-64.8963,66,4,54,8.0,78,61.5281351381586,1056,,6.06060606060606,850,VIR,984.450162210538,
Virginia,US,2020-05-08 02:32:36,37.7693,-78.17,21570,769,2825,17976.0,51,272.788321574053,123152,4438,3.56513676402411,84000051,USA,1557.46070368511,20.5748725081131
Washington,US,2020-05-08 02:32:36,47.4009,-121.4905,16231,891,,15340.0,53,214.997132885872,224813,,5.48949541001787,84000053,USA,2977.8910994684,
West Virginia,US,2020-05-08 02:32:36,38.4912,-80.9545,1287,51,716,520.0,54,97.2790586229155,57521,,3.96270396270396,84000054,USA,4347.77679180165,
Wisconsin,US,2020-05-08 02:32:36,44.2685,-89.6165,9215,374,4520,4321.0,55,178.082395622748,102250,1732,4.05860010851872,84000055,USA,1976.00921892849,18.7954422137819
Wyoming,US,2020-05-08 02:32:36,42.756,-107.3025,635,7,416,212.0,56,127.704931220336,12034,59,1.10236220472441,84000056,USA,2420.1592792213,9.29133858267717
