Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,
Nevada,US,2020-05-10 02:32:34,38.3135,-117.0554,6171,313,205,5653.0,32,204.561478995073,56111,,5.07211148922379,84000032,USA,1860.01444626358,,
New Hampshire,US,2020-05-10 02:32:34,43.4525,-71.5639,3011,131,1210,1670.0,33,226.706662209332,32298,309,4.35071404848887,84000033,USA,2431.80729858419,10.2623713052142,
New Jersey,US,2020-05-10 02:32:34,40.2989,-74.521,137397,9116,15642,112639.0,34,1546.88201896154,305206,,6.63478824137354,84000034,USA,3436.1570738748,,
New Mexico,US,2020-05-10 02:32:34,34.8405,-106.2485,4778,191,1189,3398.0,35,286.531061154412,93262,789,3.99748848890749,84000035,USA,5592.81285587752,16.5131854332357,
New York,US,2020-05-10 02:32:34,42.1657,-74.9481,333122,26612,57180,249330.0,36,1975.6924623503,1153768,72255,7.98866481349175,84000036,USA,6842.81056460091,21.6902516195268,
North Carolina,US,2020-05-10 02:32:34,35.6301,-79.8064,14478,551,,13927.0,37,145.978851316436,186362,,3.80577427821522,84000037,USA,1879.05171218633,,
North Dakota,US,2020-05-10 02:32:34,47.5289,-99.784,1464,35,762,667.0,38,241.417636020039,43933,110,2.39071038251366,84000038,USA,7244.67281644015,7.51366120218579,
Northern Mariana Islands,US,2020-05-10 02:32:34,15.0979,145.6739,16,2,12,2.0,69,29.0149426954882,2337,,12.5,580,MNP,4237.99506745974,,
Ohio,US,2020-05-10 02:32:34,40.3888,-82.7649,23697,1331,,22366.0,39,212.075325805049,196670,4300,5.61674473562054,84000039,USA,1760.09006735363,18.1457568468583,
Oklahoma,US,2020-05-10 02:32:34,35.5653,-96.9289,4490,270,3154,1066.0,40,122.756951625012,95869,822,6.01336302895323,84000040,USA,2621.06596778136,18.3073496659243,
Oregon,US,2020-05-10 02:32:34,44.572,-122.0709,3160,127,1125,1908.0,41,78.8605351435985,74620,662,4.01898734177215,84000041,USA,1862.2066874732,20.9493670886076,
Pennsylvania,US,2020-05-10 02:32:34,40.5908,-77.2098,58560,3779,,54781.0,42,465.22354682587,277107,,6.45321038251366,84000042,USA,2201.44640352248,,
Puerto Rico,US,2020-05-10 02:32:34,18.2208,-66.5901,2173,108,,2065.0,72,74.0776598413859,2173,,4.97008743672342,630,PRI,74.0776598413859,,
Rhode Island,US,2020-05-10 02:32:34,41.6809,-71.5118,10989,418,772,9799.0,44,1037.32344309447,87815,1218,3.8038038038038,84000044,USA,8289.4310815671,11.0838110838111,
South Carolina,US,2020-05-10 02:32:34,33.8569,-80.945,7531,330,4120,3081.0,45,149.425344371748,80963,1252,4.38188819545877,84000045,USA,1606.41669849553,16.624618244589,
South Dakota,US,2020-05-10 02:32:34,44.2998,-99.4388,3393,34,2125,1234.0,46,461.073092247232,22952,253,1.00206307102859,84000046,USA,3118.93593081594,7.45652814618332,
Tennessee,US,2020-05-10 02:32:34,35.7478,-86.6923,14768,242,7369,7157.0,47,224.952927899144,252748,1319,1.63867822318527,84000047,USA,3849.97309186436,8.93147345612134,
Texas,US,2020-05-10 02:32:34,31.0545,-97.5635,38394,1066,20141,17187.0,48,167.04256391932,489294,,2.77647549096213,84000048,USA,2128.79419363285,,
Utah,US,2020-05-10 02:32:34,40.15,-111.8624,6103,66,2901,3136.0,49,212.953638705292,143294,498,1.08143535965918,84000049,USA,4999.99651067281,8.15992135015566,
Vermont,US,2020-05-10 02:32:34,44.0459,-72.7107,921,53,744,124.0,50,150.837467306266,19527,,5.75461454940282,84000050,USA,3198.04910324587,,
Virgin Islands,US,2020-05-10 02:32:34,18.3358,-64.8963,68,4,57,7.0,78,63.3926240817392,1092,,5.88235294117647,850,VIR,1018.01096319499,,
Virginia,US,2020-05-10 02:32:34,37.7693,-78.17,23196,827,3124,19245.0,51,293.351780585616,137149,4717,3.56526987411623,84000051,USA,1734.47591634491,20.3354026556303,
Washington,US,2020-05-10 02:32:34,47.4009,-121.4905,16674,921,,15753.0,53,220.865146555297,235835,3450,5.52356962936308,84000053,USA,3123.88939893658,20.6908960057575,
West Virginia,US,2020-05-10 02:32:34,38.4912,-80.9545,1323,52,761,510.0,54,100.000151171808,60997,,3.93046107331822,84000054,USA,4610.51339457807,,
Wisconsin,US,2020-05-10 02:32:34,44.2685,-89.6165,9939,398,4875,4666.0,55,192.073893661909,111874,1806,4.00442700472885,84000055,USA,2161.99565142695,18.1708421370359,
Wyoming,US,2020-05-10 02:32:34,42.756,-107.3025,653,7,438,208.0,56,131.324913522645,12047,64,1.07197549770291,84000056,USA,2422.77371088408,9.80091883614089,
